차례	항목	풀이	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
12072	정02		부	12 	11 	1 	0 	2 	6 	0 	0 	0 	0 	3 
53186	정10	正	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
36116	정14	町	의	2 	2 	0 	0 	0 	1 	0 	0 	0 	0 	1 
2269	정20	情	명	95 	33 	10 	4 	4 	16 	3 	19 	4 	3 	32 
53187	정80	丁	의	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
24668	정81	政	명	4 	4 	0 	0 	1 	0 	3 	0 	0 	0 	0 
53188	정82	精	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
17548	정가05	定價	명	7 	4 	5 	0 	0 	1 	1 	0 	0 	0 	0 
19379	정가80	政街	명	6 	3 	0 	0 	0 	0 	2 	4 	0 	0 	0 
53189	정가표	定價票	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
14827	정각04	正刻	명	9 	6 	0 	0 	0 	7 	0 	2 	0 	0 	0 
53190	정각05	正覺	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
53191	정간02	井間	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53192	정간물	定刊物	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
13744	정갈하다		형	10 	7 	0 	0 	4 	0 	1 	4 	0 	0 	1 
53193	정갈히		부	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
12846	정감03	情感	명	11 	9 	1 	1 	1 	3 	0 	4 	0 	0 	1 
53194	정강01	政綱	명	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
28984	정강이		명	3 	3 	0 	0 	0 	2 	0 	0 	0 	0 	1 
28985	정강이뼈		명	3 	2 	0 	0 	0 	1 	2 	0 	0 	0 	0 
9769	정거장	停車場	명	16 	8 	1 	1 	1 	6 	1 	1 	0 	0 	5 
53195	정견01	正見	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53196	정견02	定見	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
21702	정견03	政見	명	5 	3 	0 	0 	0 	0 	5 	0 	0 	0 	0 
53197	정결02	淨潔	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
17549	정결하다02	淨潔-	형	7 	5 	1 	0 	0 	4 	0 	1 	0 	0 	1 
10776	정겹다	情-	형	14 	10 	1 	1 	0 	2 	0 	9 	0 	0 	1 
8203	정경04	政經	명	20 	11 	0 	0 	2 	0 	15 	3 	0 	0 	0 
12073	정경05	情景	명	12 	10 	1 	1 	1 	2 	3 	3 	0 	0 	1 
3658	정계04	政界	명	55 	16 	0 	0 	1 	0 	37 	17 	0 	0 	0 
21703	정곡01	正鵠	명	5 	5 	0 	0 	3 	2 	0 	0 	0 	0 	0 
53198	정공06	精工	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
53199	정공법	正攻法	명	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
28986	정관03	定款	명	3 	1 	0 	0 	0 	0 	3 	0 	0 	0 	0 
36117	정관07	精管	명	2 	2 	0 	1 	0 	0 	1 	0 	0 	0 	0 
53200	정관08	靜觀	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
53201	정관사01	定冠詞	명	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
53202	정교03	政敎	명	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
17550	정교사	正敎師	명	7 	1 	0 	0 	0 	0 	0 	7 	0 	0 	0 
6476	정교하다02	精巧-	형	27 	17 	2 	8 	11 	2 	1 	3 	0 	0 	0 
