차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
93	이나마	조	47 	31 	4 	0 	11 	9 	7 	9 	0 	1 	6 
94	에게로	부	46 	22 	2 	0 	7 	28 	0 	6 	2 	0 	1 
95	이라든가	조	45 	19 	2 	0 	19 	15 	1 	2 	0 	6 	0 
96	보고	부	43 	24 	4 	1 	3 	7 	1 	1 	4 	5 	17 
97	이든지	조	43 	22 	4 	1 	8 	14 	1 	3 	0 	1 	11 
98	ㄹ	조	41 	19 	1 	1 	7 	24 	1 	4 	3 	0 	0 
99	이랑	부	39 	20 	5 	0 	0 	7 	0 	5 	6 	16 	0 
100	는커녕	조	38 	30 	2 	0 	6 	5 	15 	7 	1 	0 	2 
101	라고	조	38 	26 	2 	1 	5 	18 	2 	3 	3 	2 	2 
102	서부터	부	38 	31 	1 	1 	13 	7 	8 	4 	1 	3 	0 
103	이며	접	38 	21 	2 	0 	7 	15 	0 	8 	1 	0 	5 
104	며	접	36 	15 	0 	0 	5 	19 	2 	6 	0 	0 	4 
105	라든가	조	34 	20 	0 	0 	17 	9 	1 	1 	0 	5 	1 
106	에서	주	32 	10 	0 	0 	1 	1 	0 	0 	0 	30 	0 
107	가	조	31 	23 	3 	0 	1 	15 	1 	2 	2 	6 	1 
108	여	호	31 	10 	2 	0 	2 	12 	0 	2 	0 	0 	13 
109	이랑	접	26 	19 	4 	0 	1 	6 	0 	2 	6 	5 	2 
110	이라든지	조	25 	12 	0 	1 	11 	0 	2 	0 	0 	10 	1 
111	이여	호	25 	15 	1 	0 	4 	4 	4 	3 	2 	0 	7 
112	그래	조	24 	12 	6 	0 	1 	8 	0 	0 	6 	0 	3 
113	따라	조	24 	17 	2 	0 	4 	10 	1 	5 	0 	0 	2 
114	치고	조	23 	17 	1 	0 	6 	4 	3 	7 	0 	0 	2 
115	다	접	22 	8 	0 	0 	15 	3 	1 	1 	0 	2 	0 
116	에의	관	22 	7 	0 	0 	18 	0 	3 	1 	0 	0 	0 
117	잉	조	21 	3 	0 	0 	0 	0 	0 	0 	21 	0 	0 
118	두	조	19 	2 	0 	0 	0 	16 	0 	0 	3 	0 	0 
119	은커녕	조	19 	15 	0 	1 	4 	4 	7 	3 	0 	0 	0 
120	이다	접	17 	7 	0 	0 	10 	3 	2 	1 	0 	1 	0 
121	그려	조	16 	6 	3 	0 	0 	6 	0 	0 	0 	0 	7 
122	라든지	조	16 	10 	1 	0 	3 	0 	2 	0 	0 	8 	2 
123	마는	조	16 	11 	0 	0 	2 	4 	0 	0 	0 	3 	7 
124	를	조	15 	10 	2 	1 	1 	7 	1 	1 	0 	2 	0 
125	이	조	15 	10 	0 	2 	7 	1 	0 	2 	2 	1 	0 
126	마냥	부	14 	10 	0 	0 	4 	6 	3 	0 	1 	0 	0 
127	라야	조	13 	10 	1 	0 	5 	3 	1 	1 	1 	0 	1 
128	ㄴ들	조	12 	10 	0 	1 	2 	9 	0 	0 	0 	0 	0 
129	에로	부	12 	6 	0 	0 	9 	0 	2 	0 	0 	1 	0 
130	깨나	조	11 	5 	2 	0 	1 	7 	0 	1 	0 	0 	0 
131	인들	조	11 	8 	1 	0 	4 	2 	0 	1 	1 	0 	2 
132	치고는	조	11 	9 	2 	0 	2 	3 	1 	3 	0 	0 	0 
133	커녕	조	11 	6 	0 	0 	0 	2 	3 	4 	0 	0 	2 
134	래	주	9 	2 	0 	0 	0 	1 	0 	0 	8 	0 	0 
135	일랑	조	9 	8 	3 	1 	1 	2 	0 	1 	1 	0 	0 
136	하며	접	9 	5 	0 	0 	0 	7 	1 	1 	0 	0 	0 
137	ㄹ랑	조	8 	5 	0 	2 	2 	4 	0 	0 	0 	0 	0 
138	유	조	8 	2 	0 	0 	0 	2 	0 	0 	6 	0 	0 
139	으루	부	7 	3 	0 	0 	0 	5 	0 	0 	2 	0 	0 
140	구	인	6 	2 	0 	0 	0 	4 	0 	0 	2 	0 	0 
141	이라야	조	6 	5 	0 	0 	4 	1 	0 	1 	0 	0 	0 
142	인즉	조	5 	5 	0 	0 	1 	0 	1 	2 	0 	0 	1 
143	루	부	4 	1 	0 	0 	0 	4 	0 	0 	0 	0 	0 
