차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
90	ㄹ지	종	408 	116 	25 	26 	42 	152 	76 	47 	8 	10 	22 
621	ㄹ지니	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
622	ㄹ지니라	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
153	ㄹ지라도	연	85 	52 	2 	7 	30 	19 	11 	9 	0 	3 	4 
623	ㄹ지어다	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
311	ㄹ지언정	연	8 	6 	1 	0 	3 	0 	1 	1 	0 	0 	2 
312	ㄹ진대	연	8 	5 	0 	0 	1 	1 	0 	4 	0 	0 	2 
624	ㄹ진저	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
39	라	연	1,890 	149 	98 	98 	688 	320 	275 	248 	23 	66 	74 
15	라	종	8,233 	165 	368 	337 	2,586 	1,630 	1,185 	1,086 	192 	332 	517 
166	라고	연	61 	32 	4 	1 	4 	17 	1 	7 	7 	5 	15 
100	라고	종	328 	64 	29 	7 	17 	134 	0 	23 	37 	76 	5 
427	라구	연	3 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 
388	라구	종	4 	1 	0 	0 	0 	4 	0 	0 	0 	0 	0 
279	라나	종	11 	8 	1 	0 	2 	4 	0 	3 	1 	0 	0 
243	라네	종	16 	6 	1 	0 	1 	12 	0 	1 	0 	0 	1 
186	라느니	연	37 	11 	1 	0 	6 	20 	3 	1 	0 	0 	6 
428	라니	연	3 	3 	0 	0 	0 	3 	0 	0 	0 	0 	0 
150	라니	종	88 	38 	6 	0 	5 	47 	2 	7 	6 	2 	13 
192	라니까	종	34 	20 	1 	1 	1 	21 	0 	1 	7 	0 	2 
625	라니께	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
626	라니께	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
177	라도	연	50 	29 	1 	1 	7 	17 	8 	10 	0 	1 	5 
627	라두	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
340	라며	종	6 	3 	0 	0 	0 	0 	0 	0 	0 	6 	0 
83	라면	연	482 	107 	22 	15 	142 	123 	82 	60 	15 	3 	20 
628	라면	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
498	라면서	종	2 	2 	1 	0 	0 	0 	0 	1 	0 	0 	0 
146	라서	연	91 	38 	21 	0 	6 	21 	1 	12 	1 	5 	24 
313	라야	연	8 	8 	1 	0 	5 	1 	0 	0 	0 	0 	1 
629	라야지	연	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
341	라오	종	6 	5 	0 	2 	0 	3 	0 	1 	0 	0 	0 
499	라요	종	2 	2 	0 	0 	0 	1 	0 	1 	0 	0 	0 
322	라우	종	7 	3 	0 	0 	0 	6 	0 	0 	1 	0 	0 
630	라이	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
631	락	연	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
207	란다	종	25 	20 	4 	5 	1 	9 	0 	4 	1 	0 	1 
297	람	종	9 	8 	0 	1 	1 	5 	0 	0 	0 	0 	2 
632	랍니까	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
204	랍니다	종	28 	9 	4 	0 	3 	16 	0 	3 	2 	0 	0 
389	랍시고	연	4 	4 	0 	0 	0 	4 	0 	0 	0 	0 	0 
633	랑께	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
390	래	종	4 	3 	0 	0 	0 	2 	0 	0 	0 	0 	2 
233	랴	연	18 	7 	2 	0 	2 	0 	0 	1 	0 	0 	13 
187	랴	종	37 	21 	1 	0 	7 	10 	4 	6 	0 	0 	9 
85	러	연	452 	91 	68 	21 	43 	140 	11 	46 	32 	20 	71 
634	런가	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
55	려	연	1,132 	139 	33 	36 	353 	206 	227 	123 	71 	24 	59 
286	려	종	10 	9 	0 	2 	2 	4 	1 	1 	0 	0 	0 
66	려고	연	797 	128 	84 	70 	156 	214 	31 	76 	51 	41 	74 
287	려고	종	10 	10 	1 	0 	0 	4 	0 	1 	3 	1 	0 
237	려나	종	17 	14 	2 	0 	0 	9 	1 	1 	3 	0 	1 
227	려니	종	19 	13 	0 	0 	2 	9 	1 	6 	0 	0 	1 
500	려니까	연	2 	2 	0 	0 	0 	1 	0 	0 	0 	0 	1 
298	려니와	연	9 	8 	2 	0 	4 	3 	0 	0 	0 	0 	0 
323	려다	연	7 	7 	0 	1 	1 	3 	2 	0 	0 	0 	0 
429	려다가	연	3 	3 	0 	0 	0 	2 	0 	0 	0 	0 	1 
96	려면	연	356 	107 	30 	46 	84 	38 	54 	49 	13 	16 	26 
324	려무나	종	7 	5 	1 	1 	0 	5 	0 	0 	0 	0 	0 
391	려야	연	4 	4 	1 	0 	1 	0 	1 	0 	1 	0 	0 
635	련	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
342	련만	연	6 	6 	1 	0 	1 	3 	0 	1 	0 	0 	0 
206	렴	종	26 	16 	5 	10 	3 	6 	0 	2 	0 	0 	0 
501	렵니까	종	2 	2 	0 	0 	0 	1 	0 	0 	1 	0 	0 
369	렵니다	종	5 	5 	0 	0 	0 	2 	0 	1 	1 	0 	1 
430	렷다	종	3 	3 	1 	0 	0 	1 	0 	1 	0 	0 	0 
636	로고	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
208	로구나	종	25 	17 	3 	4 	4 	6 	0 	4 	0 	0 	4 
431	로구먼	종	3 	3 	0 	0 	0 	1 	0 	1 	0 	0 	1 
251	로군	종	15 	14 	4 	0 	1 	6 	0 	2 	0 	0 	2 
325	로다	종	7 	5 	0 	0 	3 	0 	0 	0 	1 	0 	3 
637	로되	연	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
502	로세	종	2 	2 	0 	1 	0 	0 	0 	0 	1 	0 	0 
638	로이다	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
252	리	종	15 	8 	1 	1 	4 	0 	0 	5 	0 	0 	4 
639	리니	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
392	리다	종	4 	4 	0 	0 	0 	3 	0 	0 	0 	0 	1 
108	리라	종	244 	71 	9 	1 	60 	59 	46 	49 	3 	1 	16 
432	리만치	연	3 	3 	0 	0 	0 	1 	0 	2 	0 	0 	0 
326	리만큼	연	7 	7 	0 	0 	3 	2 	1 	1 	0 	0 	0 
503	리오	종	2 	2 	0 	0 	1 	0 	0 	0 	0 	0 	1 
30	ㅁ	명	2,929 	150 	125 	178 	1,294 	390 	452 	391 	16 	14 	69 
640	ㅁ더	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
265	ㅁ매	종	13 	3 	0 	0 	0 	0 	0 	0 	13 	0 	0 
641	ㅁ서	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
504	ㅁ세	종	2 	2 	0 	0 	1 	1 	0 	0 	0 	0 	0 
433	ㅁ시러	연	3 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 
505	ㅁ시롱	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
147	ㅁ에도	연	91 	45 	1 	4 	23 	17 	24 	20 	0 	0 	2 
266	마	종	13 	10 	1 	0 	0 	9 	0 	2 	1 	0 	0 
393	매	연	4 	3 	0 	0 	1 	3 	0 	0 	0 	0 	0 
20	며	연	6,126 	158 	176 	510 	1,628 	1,219 	953 	812 	557 	5 	266 
16	면	연	8,036 	173 	551 	457 	1,749 	1,316 	1,175 	1,232 	367 	643 	546 
23	면서	연	4,274 	169 	163 	381 	1,039 	952 	653 	639 	67 	120 	260 
91	므로	연	402 	90 	18 	49 	169 	25 	65 	65 	1 	0 	10 
244	믄	연	16 	3 	0 	0 	0 	14 	0 	1 	1 	0 	0 
506	믄서	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
394	ㅂ네	종	4 	4 	0 	0 	0 	3 	0 	0 	1 	0 	0 
642	ㅂ네다	종	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
74	ㅂ니까	종	560 	83 	258 	47 	30 	136 	7 	27 	22 	7 	26 
27	ㅂ니다	종	3,734 	116 	793 	571 	668 	970 	74 	304 	79 	60 	215 
370	ㅂ니더	종	5 	1 	0 	0 	0 	0 	0 	5 	0 	0 	0 
314	ㅂ디까	종	8 	5 	0 	0 	1 	6 	0 	0 	1 	0 	0 
201	ㅂ디다	종	29 	9 	0 	0 	0 	26 	0 	2 	1 	0 	0 
643	ㅂ디더	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
434	ㅂ세	종	3 	2 	0 	0 	0 	0 	0 	0 	3 	0 	0 
435	ㅂ쇼	종	3 	2 	0 	0 	0 	1 	0 	0 	2 	0 	0 
64	ㅂ시다	종	878 	67 	60 	654 	30 	75 	16 	3 	7 	15 	18 
154	ㅂ시오	종	85 	36 	28 	5 	5 	32 	0 	4 	5 	2 	4 
507	ㅂ죠	종	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
267	ㅂ지요	종	13 	3 	0 	0 	0 	13 	0 	0 	0 	0 	0 
644	사	연	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
436	사오	선	3 	2 	1 	0 	0 	0 	0 	0 	2 	0 	0 
645	사오니	연	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
646	사오이다	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
508	사옵니다	종	2 	2 	0 	0 	1 	0 	0 	0 	1 	0 	0 
327	사외다	종	7 	1 	0 	0 	0 	7 	0 	0 	0 	0 	0 
647	삼내다	종	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
212	세	종	23 	12 	8 	3 	6 	3 	1 	0 	0 	0 	2 
437	세나	종	3 	2 	1 	0 	0 	2 	0 	0 	0 	0 	0 
59	세요	종	1,041 	91 	480 	35 	56 	206 	13 	73 	107 	34 	37 
343	셔요	종	6 	4 	0 	0 	0 	0 	0 	0 	2 	0 	4 
102	소	종	314 	46 	12 	19 	7 	189 	1 	4 	68 	0 	14 
328	소서	종	7 	4 	0 	0 	0 	0 	1 	1 	3 	0 	2 
648	소이까	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
438	소이다	종	3 	2 	0 	0 	0 	1 	0 	0 	2 	0 	0 
344	쇼	종	6 	4 	0 	0 	0 	5 	0 	0 	1 	0 	0 
329	수	종	7 	4 	0 	0 	1 	4 	0 	0 	2 	0 	0 
371	수다	종	5 	2 	0 	0 	0 	5 	0 	0 	0 	0 	0 
228	슈	종	19 	6 	0 	0 	1 	12 	0 	0 	6 	0 	0 
299	슴	종	9 	2 	0 	0 	0 	0 	0 	0 	9 	0 	0 
439	슴매	종	3 	2 	0 	0 	0 	0 	0 	0 	3 	0 	0 
649	습네다	종	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
80	습니까	종	521 	79 	197 	55 	25 	175 	5 	27 	17 	8 	12 
21	습니다	종	5,790 	122 	1,031 	863 	578 	2,366 	59 	315 	89 	65 	424 
372	습디까	종	5 	3 	1 	0 	0 	4 	0 	0 	0 	0 	0 
440	습디다	종	3 	3 	0 	0 	0 	3 	0 	0 	0 	0 	0 
280	습지요	종	11 	2 	0 	0 	0 	11 	0 	0 	0 	0 	0 
28	시	선	3,613 	122 	752 	374 	198 	827 	15 	356 	207 	179 	705 
300	시다	종	9 	1 	0 	0 	0 	9 	0 	0 	0 	0 	0 
509	심더	종	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
510	십사	종	2 	2 	1 	0 	0 	1 	0 	0 	0 	0 	0 
441	십시다	종	3 	3 	1 	0 	0 	1 	0 	1 	0 	0 	0 
119	십시오	종	177 	57 	69 	14 	14 	40 	1 	17 	10 	4 	8 
650	씨요	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
442	ㅇ게	연	3 	2 	0 	0 	0 	0 	0 	0 	3 	0 	0 
511	ㅇ교	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
651	ㅇ께	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
7	아	연	26,904 	175 	1,028 	3,061 	6,633 	4,724 	5,316 	3,730 	823 	534 	1,055 
34	아	종	2,407 	94 	104 	50 	75 	520 	10 	66 	525 	988 	69 
512	아가	연	2 	1 	0 	0 	0 	0 	0 	0 	2 	0 	0 
652	아나	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
253	아다	연	15 	13 	1 	0 	3 	7 	1 	1 	1 	0 	1 
288	아다가	연	10 	9 	1 	1 	1 	2 	0 	1 	0 	0 	4 
50	아도	연	1,375 	148 	103 	40 	278 	297 	184 	225 	50 	68 	130 
395	아두	연	4 	2 	0 	0 	0 	3 	0 	0 	1 	0 	0 
107	아라	종	246 	84 	16 	17 	23 	78 	9 	19 	42 	10 	32 
17	아서	연	7,411 	172 	604 	497 	1,774 	1,582 	680 	775 	322 	370 	807 
396	아서리	연	4 	2 	0 	0 	0 	0 	0 	0 	4 	0 	0 
29	아야	연	3,454 	168 	192 	384 	799 	461 	806 	393 	73 	148 	198 
155	아야만	연	82 	48 	4 	9 	23 	20 	11 	13 	0 	0 	2 
345	아야지	연	6 	6 	0 	0 	0 	2 	0 	0 	0 	2 	2 
121	아야지	종	174 	67 	18 	13 	10 	39 	5 	10 	26 	32 	21 
43	아요	종	1,737 	92 	525 	39 	70 	419 	10 	131 	167 	344 	32 
373	아유	종	5 	3 	0 	0 	0 	1 	0 	2 	2 	0 	0 
443	아지	종	3 	2 	0 	0 	0 	1 	0 	0 	0 	0 	2 
653	압	종	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
6	았	선	30,743 	175 	1,791 	1,823 	5,414 	9,423 	4,746 	4,006 	564 	811 	2,165 
88	았었	선	435 	101 	19 	6 	29 	201 	46 	71 	19 	34 	10 
397	았자	연	4 	3 	0 	0 	0 	3 	1 	0 	0 	0 	0 
269	야	연	12 	10 	0 	0 	2 	2 	2 	0 	0 	5 	1 
41	야	종	1,833 	90 	86 	52 	87 	689 	6 	115 	323 	414 	61 
654	야시니	연	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
655	야유	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
513	야지	종	2 	2 	0 	0 	0 	0 	0 	0 	0 	2 	0 
656	야해	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
657	얐	선	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
8	어	연	26,266 	175 	910 	2,340 	5,533 	6,486 	4,166 	4,256 	857 	439 	1,279 
35	어	종	2,317 	94 	94 	69 	86 	754 	11 	108 	538 	561 	96 
514	어가	연	2 	2 	0 	0 	0 	0 	0 	0 	2 	0 	0 
515	어나	연	2 	2 	0 	0 	0 	1 	0 	0 	1 	0 	0 
142	어다	연	102 	49 	7 	4 	16 	41 	6 	17 	5 	0 	6 
189	어다가	연	36 	20 	1 	0 	2 	17 	1 	8 	1 	1 	5 
68	어도	연	767 	133 	55 	23 	159 	195 	60 	123 	40 	34 	78 
114	어라	종	208 	76 	12 	24 	14 	58 	9 	18 	34 	4 	35 
658	어라우	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
24	어서	연	4,202 	170 	372 	289 	1,011 	897 	266 	546 	214 	138 	469 
346	어서리	연	6 	3 	0 	0 	0 	3 	0 	0 	3 	0 	0 
516	어설랑	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
31	어야	연	2,827 	163 	164 	221 	701 	365 	673 	382 	59 	100 	162 
175	어야만	연	51 	38 	1 	5 	14 	9 	8 	11 	0 	0 	3 
238	어야지	연	17 	11 	0 	0 	2 	4 	1 	0 	0 	9 	1 
138	어야지	종	111 	57 	14 	6 	9 	33 	3 	5 	19 	9 	13 
659	어야지라	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
660	어예	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
32	어요	종	2,782 	106 	942 	87 	120 	732 	23 	305 	214 	294 	65 
444	어유	종	3 	3 	0 	0 	0 	1 	0 	1 	1 	0 	0 
661	언정	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
5	었	선	35,239 	175 	1,810 	2,067 	6,138 	13,103 	3,686 	4,605 	502 	638 	2,690 
129	었었	선	149 	65 	7 	4 	5 	62 	34 	20 	1 	16 	0 
60	에요	종	1,022 	88 	324 	17 	45 	332 	2 	78 	118 	90 	16 
398	여	연	4 	3 	2 	0 	1 	1 	0 	0 	0 	0 	0 
159	여	종	74 	12 	0 	0 	8 	42 	0 	1 	6 	0 	17 
662	여이다	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
517	예	종	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
289	오	선	10 	8 	2 	1 	0 	1 	1 	0 	4 	0 	1 
78	오	종	522 	63 	36 	41 	19 	294 	5 	8 	77 	7 	35 
518	오니	연	2 	2 	1 	0 	0 	0 	0 	1 	0 	0 	0 
399	오니까	종	4 	2 	0 	0 	0 	1 	0 	0 	3 	0 	0 
330	오리다	종	7 	3 	4 	1 	2 	0 	0 	0 	0 	0 	0 
663	오면	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
664	오습네	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
665	오이까	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
254	오이다	종	15 	1 	0 	0 	0 	15 	0 	0 	0 	0 	0 
445	올시다	종	3 	3 	0 	0 	1 	1 	0 	0 	0 	0 	1 
255	옵	선	15 	6 	2 	0 	0 	6 	0 	5 	1 	0 	1 
666	옵나이다	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
667	옵네다	종	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
668	옵니까	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
301	옵니다	종	9 	5 	1 	1 	2 	0 	0 	0 	5 	0 	0 
374	옵소서	종	5 	4 	1 	3 	0 	0 	0 	0 	0 	0 	1 
519	옵시	선	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
446	외다	종	3 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 
101	요	연	317 	52 	17 	6 	193 	21 	15 	33 	6 	0 	26 
290	요	종	10 	3 	0 	0 	0 	1 	0 	0 	9 	0 	0 
170	우	종	56 	14 	9 	0 	10 	30 	0 	1 	6 	0 	0 
347	우다	종	6 	1 	0 	0 	0 	6 	0 	0 	0 	0 	0 
270	유	종	12 	5 	0 	0 	1 	7 	0 	1 	2 	1 	0 
400	으	연	4 	3 	0 	0 	0 	1 	0 	3 	0 	0 	0 
56	으나	연	1,131 	123 	24 	85 	299 	108 	402 	155 	2 	3 	53 
520	으나마	연	2 	2 	0 	0 	0 	0 	1 	1 	0 	0 	0 
223	으냐	종	20 	14 	1 	0 	8 	5 	1 	2 	2 	1 	0 
669	으냐고	종	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
76	으니	연	536 	102 	38 	21 	134 	143 	39 	69 	12 	3 	77 
271	으니	종	12 	8 	2 	1 	1 	7 	0 	0 	0 	0 	1 
89	으니까	연	415 	81 	66 	4 	33 	169 	6 	16 	25 	58 	38 
447	으니까니	연	3 	1 	0 	0 	0 	3 	0 	0 	0 	0 	0 
521	으니깐	연	2 	2 	0 	0 	0 	0 	0 	0 	0 	2 	0 
522	으니께	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
448	으니끼니	연	3 	1 	0 	0 	0 	0 	0 	0 	3 	0 	0 
670	으니라	종	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
671	으니만큼	연	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
331	으되	연	7 	6 	0 	0 	1 	3 	1 	1 	0 	0 	1 
137	으라	종	113 	56 	8 	0 	11 	33 	7 	15 	14 	3 	22 
348	으라고	종	6 	5 	0 	0 	0 	3 	1 	0 	1 	1 	0 
672	으라이	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
218	으랴	종	21 	13 	6 	0 	3 	3 	1 	1 	0 	0 	7 
162	으러	연	68 	39 	6 	2 	5 	17 	4 	13 	9 	6 	6 
118	으려	연	181 	94 	1 	13 	38 	42 	31 	22 	21 	2 	11 
132	으려고	연	133 	76 	14 	10 	22 	37 	9 	12 	11 	2 	16 
673	으려고	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
401	으려나	종	4 	3 	0 	0 	0 	3 	0 	1 	0 	0 	0 
375	으려니	종	5 	4 	1 	0 	0 	2 	0 	1 	0 	0 	1 
402	으려니와	연	4 	3 	0 	0 	3 	1 	0 	0 	0 	0 	0 
523	으려다	연	2 	2 	0 	0 	0 	1 	1 	0 	0 	0 	0 
171	으려면	연	56 	38 	2 	6 	13 	7 	13 	5 	0 	2 	8 
524	으려야	연	2 	2 	0 	0 	0 	0 	0 	2 	0 	0 	0 
525	으련	종	2 	2 	1 	0 	0 	0 	0 	1 	0 	0 	0 
302	으련만	연	9 	8 	2 	0 	1 	4 	0 	1 	0 	0 	1 
403	으렴	종	4 	3 	2 	0 	0 	1 	0 	0 	0 	0 	1 
674	으렷다	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
404	으리	종	4 	2 	0 	0 	3 	0 	0 	0 	0 	0 	1 
675	으리다	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
128	으리라	종	156 	60 	5 	1 	52 	44 	15 	25 	2 	0 	12 
676	으리만치	연	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
405	으리오	종	4 	1 	0 	0 	4 	0 	0 	0 	0 	0 	0 
36	으며	연	2,168 	150 	49 	259 	765 	282 	451 	179 	147 	2 	34 
42	으면	연	1,796 	164 	166 	128 	333 	329 	191 	270 	83 	125 	171 
82	으면서	연	510 	124 	31 	25 	113 	164 	54 	80 	11 	10 	22 
106	으므로	연	266 	80 	17 	30 	75 	66 	31 	34 	0 	1 	12 
677	으세	종	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
140	으세요	종	105 	40 	61 	1 	1 	9 	3 	8 	16 	1 	5 
526	으소	종	2 	2 	0 	0 	0 	0 	0 	0 	1 	0 	1 
449	으슈	종	3 	3 	0 	0 	0 	2 	0 	0 	1 	0 	0 
97	으시	선	345 	72 	88 	34 	11 	76 	1 	31 	30 	18 	56 
291	으십시오	종	10 	8 	7 	0 	0 	1 	0 	1 	1 	0 	0 
678	으이	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
12	은	관	17,749 	176 	847 	1,549 	4,359 	3,880 	2,591 	2,962 	336 	404 	821 
141	은가	종	105 	58 	10 	4 	26 	14 	17 	16 	0 	2 	16 
376	은걸	종	5 	5 	1 	1 	0 	3 	0 	0 	0 	0 	0 
679	은게	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
680	은고	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
349	은께	연	6 	1 	0 	0 	0 	6 	0 	0 	0 	0 	0 
681	은께네	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
109	은데	연	237 	86 	42 	9 	23 	25 	11 	21 	17 	74 	15 
164	은데	종	63 	29 	24 	0 	1 	9 	0 	1 	9 	17 	2 
450	은들	연	3 	3 	1 	0 	0 	1 	0 	0 	0 	0 	1 
682	은디	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
202	은지	연	29 	22 	2 	1 	6 	9 	2 	3 	1 	0 	5 
180	은지	종	47 	33 	2 	12 	5 	8 	4 	5 	1 	6 	4 
19	을	관	6,447 	173 	392 	465 	1,449 	1,541 	1,003 	868 	142 	218 	369 
215	을걸	종	22 	21 	3 	3 	3 	7 	0 	1 	2 	3 	0 
272	을게	종	12 	11 	0 	1 	1 	3 	0 	0 	5 	0 	2 
65	을까	종	805 	130 	59 	110 	151 	205 	66 	109 	11 	34 	60 
683	을꼬	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
684	을꼬나	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
216	을는지	종	22 	17 	0 	1 	7 	6 	2 	3 	1 	2 	0 
451	을라	종	3 	2 	0 	0 	0 	2 	0 	0 	0 	0 	1 
685	을라고	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
406	을라고	종	4 	4 	0 	0 	0 	3 	0 	0 	0 	0 	1 
527	을라치면	연	2 	2 	0 	0 	2 	0 	0 	0 	0 	0 	0 
528	을락	연	2 	2 	0 	0 	0 	2 	0 	0 	0 	0 	0 
273	을래	종	12 	9 	3 	0 	0 	7 	0 	1 	1 	0 	0 
686	을래야	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
687	을려고	연	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
281	을망정	연	11 	5 	0 	0 	5 	2 	0 	1 	0 	0 	3 
688	을밖에	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
350	을뿐더러	연	6 	4 	0 	0 	2 	2 	0 	2 	0 	0 	0 
193	을수록	연	33 	22 	3 	7 	9 	3 	3 	4 	0 	0 	4 
689	을시고	종	1 	1 	0 	1 	0 	0 	0 	0 	0 	0 	0 
690	을쏘냐	종	1 	1 	0 	0 	0 	0 	0 	1 	0 	0 	0 
256	을지	연	15 	13 	0 	1 	3 	7 	2 	1 	0 	0 	1 
117	을지	종	186 	76 	9 	14 	19 	74 	37 	15 	4 	5 	9 
529	을지니	연	2 	2 	0 	0 	0 	1 	0 	0 	0 	0 	1 
292	을지라도	연	10 	7 	0 	0 	7 	2 	0 	1 	0 	0 	0 
691	을지어다	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
303	을지언정	연	9 	9 	0 	0 	5 	2 	0 	1 	0 	0 	1 
53	음	명	1,307 	127 	46 	80 	535 	179 	224 	206 	8 	1 	28 
293	음	종	10 	1 	0 	0 	0 	0 	0 	0 	10 	0 	0 
692	음매	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
199	음에도	연	30 	23 	1 	2 	13 	1 	9 	4 	0 	0 	0 
693	읍니다	종	1 	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 
332	읍시다	종	7 	7 	2 	1 	1 	1 	0 	0 	1 	0 	1 
530	응게	연	2 	1 	0 	0 	0 	2 	0 	0 	0 	0 	0 
531	응께	연	2 	2 	0 	0 	0 	1 	0 	0 	1 	0 	0 
694	이가꼬	연	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
532	이소	종	2 	2 	0 	0 	0 	1 	0 	1 	0 	0 	0 
695	이여	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
696	이유	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
452	있	선	3 	2 	0 	0 	0 	0 	0 	0 	3 	0 	0 
533	잉깨로	연	2 	1 	0 	0 	0 	0 	0 	0 	0 	0 	2 
51	자	연	1,359 	128 	33 	83 	206 	545 	168 	199 	41 	4 	80 
38	자	종	2,071 	154 	56 	785 	402 	230 	171 	174 	70 	98 	85 
407	자고	연	4 	3 	0 	0 	0 	3 	0 	0 	0 	0 	1 
168	자고	종	58 	22 	3 	0 	3 	18 	1 	3 	8 	20 	2 
304	자꾸나	종	9 	8 	1 	0 	2 	3 	0 	0 	2 	0 	1 
534	자느니	연	2 	1 	0 	0 	0 	0 	2 	0 	0 	0 	0 
