차례	항목	품사	빈도	개수	교재	교과	교양	문학	신문	잡지	대본	구어	기타
555	ㄴ달차나	연	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
413	ㄴ담	종	3 	3 	0 	2 	0 	1 	0 	0 	0 	0 	0 
221	ㄴ답니다	종	20 	9 	4 	0 	0 	8 	0 	7 	0 	0 	1 
556	ㄴ답디까	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
258	ㄴ답시고	연	14 	12 	1 	0 	1 	7 	1 	3 	0 	0 	1 
557	ㄴ당께	종	1 	1 	0 	0 	0 	0 	0 	0 	1 	0 	0 
275	ㄴ대	종	11 	9 	0 	1 	2 	6 	0 	0 	1 	0 	1 
558	ㄴ대요	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
54	ㄴ데	연	1,286 	142 	133 	44 	221 	262 	88 	161 	102 	146 	129 
122	ㄴ데	종	169 	61 	51 	2 	9 	47 	1 	11 	12 	30 	6 
196	ㄴ들	연	31 	25 	3 	0 	8 	7 	3 	5 	1 	0 	4 
559	ㄴ듯	연	1 	1 	0 	0 	0 	0 	1 	0 	0 	0 	0 
306	ㄴ디	연	8 	3 	0 	0 	0 	0 	0 	0 	5 	0 	3 
381	ㄴ디	종	4 	4 	0 	0 	0 	3 	0 	0 	1 	0 	0 
467	ㄴ디야	종	2 	2 	0 	0 	0 	1 	0 	0 	0 	1 	0 
468	ㄴ바	연	2 	2 	1 	0 	0 	0 	1 	0 	0 	0 	0 
245	ㄴ즉	연	15 	7 	0 	0 	2 	4 	0 	3 	2 	0 	4 
560	ㄴ즉슨	연	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
98	ㄴ지	연	344 	94 	28 	15 	43 	115 	26 	71 	5 	9 	32 
63	ㄴ지	종	935 	141 	28 	116 	145 	281 	100 	117 	25 	63 	60 
357	ㄴ지고	종	5 	2 	0 	0 	0 	0 	0 	0 	0 	0 	5 
190	ㄴ지라	연	34 	18 	3 	1 	2 	6 	0 	8 	0 	0 	14 
561	ㄴ지언정	연	1 	1 	0 	0 	1 	0 	0 	0 	0 	0 	0 
94	나	연	364 	99 	37 	12 	116 	57 	55 	33 	23 	7 	24 
69	나	종	715 	113 	112 	16 	89 	161 	32 	77 	93 	84 	51 
562	나그려	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
285	나니	연	10 	6 	2 	0 	0 	6 	0 	1 	0 	0 	1 
358	나마	연	5 	5 	0 	0 	3 	1 	0 	1 	0 	0 	0 
563	나이까	종	1 	1 	0 	0 	0 	0 	0 	0 	0 	0 	1 
359	나이다	종	5 	3 	2 	0 	1 	0 	0 	2 	0 	0 	0 
360	남	종	5 	3 	0 	0 	0 	4 	0 	1 	0 	0 	0 
61	냐	종	952 	109 	22 	11 	132 	192 	68 	92 	130 	262 	43 
173	냐고	종	53 	24 	0 	0 	4 	31 	0 	3 	7 	7 	1 
564	냐구	종	1 	1 	0 	0 	0 	1 	0 	0 	0 	0 	0 
230	너라	종	18 	10 	0 	5 	0 	9 	0 	3 	0 	0 	1 
73	네	종	564 	84 	115 	26 	31 	120 	6 	44 	84 	85 	53 
